Name,Quantity,Component
"U1",1," Arduino Uno R3"
"PIR1",1,"10.731651376147 , -187.43047060822292 , -231.52981651376163 , -161.7011009224657  PIR Sensor"
"PIEZO1",1," Piezo"
"L1",1," Light bulb"
